STATE,COUNTY,POID,eco_mid,eco_end,hhc_mid,hhc_end,hhnc_mid,hhnc_end,eco_mid_perc,eco_end_perc,hhc_mid_perc,hhc_end_perc,hhnc_mid_perc,hhnc_end_perc
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,5001,109.483372923,54.7416864615,0.0,0.0,0.0,0.0,0.102065810249,0.102065810249,0.0,0.0,,
3,23,5001,0.0442334995893,0.0221167497947,2.59158718491e-10,2.98032526265e-09,0.0,0.0,4.1236654071e-05,4.1236654071e-05,9.1780656698e-07,9.1780656698e-07,,
3,23,5001,963.146706901,481.57335345,0.000282367211085,0.00324722292747,0.0,0.0,0.897892953097,0.897892953097,0.999999082193,0.999999082193,,
3,27,6001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,27,6001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4,50,7001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4,50,7001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4,50,7001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
