STATE,COUNTY,POID,eco_mid,eco_end,hhc_mid,hhc_end,hhnc_mid,hhnc_end,eco_mid_perc,eco_end_perc,hhc_mid_perc,hhc_end_perc,hhnc_mid_perc,hhnc_end_perc
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,4001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,23,5001,109.483372923,54.7416864615,0.0,0.0,0.0,0.0,0.999596115502,0.999596115502,0.0,0.0,,
3,23,5001,0.0442334995893,0.0221167497947,2.59158718491e-10,2.98032526265e-09,0.0,0.0,0.000403857071481,0.000403857071481,0.99801529689,0.99801529689,,
3,23,5001,3.00400920049e-06,1.50200460025e-06,5.15375982881e-13,5.92682380313e-12,0.0,0.0,2.74269585196e-08,2.74269585196e-08,0.00198470310997,0.00198470310997,,
3,27,6001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,27,9001,8134.35772678,4067.17886339,0.0,0.0,2.37026081162e-08,6.39970419137e-08,1.0,1.0,,,1.0,1.0
4,50,7001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4,50,7001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4,50,10001,0.689980483545,0.344990241772,1.1544408382e-10,1.32760696393e-09,0.0,0.0,1.0,1.0,1.0,1.0,,
