STATE,COUNTY,POID,AICODE1,AICODE2,ai1,ai2,eco_mid,eco_end,hhc_mid,hhc_end,hhnc_mid,hhnc_end
3,23,4001,240010,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,61501,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,7401,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,9502,804208,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,97801,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,5001,24002,,0.000476190513684,,109.483372923,54.7416864615,0.0,0.0,5.80903001789e-11,1.56843810483e-10
3,23,5001,7401,,0.000178571442632,,0.0442334995893,0.0221167497947,2.59158718491e-10,2.98032526265e-09,2.17838625671e-11,5.88164289311e-11
3,23,5001,95010,804208,0.000119047628421,1.19047628421e-05,0.000801194132559,0.00040059706628,5.15375982881e-13,5.92682380313e-12,1.59748325492e-11,4.31320478828e-11
3,27,6001,61501,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,27,9001,97801,,0.6,,8134.35772678,4067.17886339,0.0,0.0,2.37026081162e-08,6.39970419137e-08
4,50,7001,24002,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,50,7001,7401,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,50,10001,9502,804208,0.0199999779538,0.00266666372717,0.689980483545,0.344990241772,1.1544408382e-10,1.32760696393e-09,2.7650950228e-09,7.46575656156e-09
